"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"43",16,16,16,14,5,13,0,0,0,16,16,3,13,13,13,0,0,0,0.295951001881384,0.631200342975677,0.153281286999621,0.135560697526942,0.351956479083807,0.217343597230651,0.139868753441871,0.110989069949149,0.109344085882514,0.362093779928715,0.778564920274492,0.29426337695285,0.293937664295428,0.338178154236994,0.0640852936374941,0.139868753441871,0.110989069949149,0.109344085882514,0.165223784249597,0.834944828328081,0.310777816746082,0.083568317043521,0.190963906261988,0.106791888671885,0.272681559240314,0.194928939455258,0.177794902862443
"44",16,16,16,1,4,13,13,13,0,16,16,5,13,0,13,13,13,0,0.423294255681356,0.39670618567416,0.117593599654396,0.169364831788728,0.193041533772265,0.251249066636093,0.141644412568469,0.200055065414948,0.0850863500526253,0.478037760701583,0.351795095404306,0.251637086271136,0.275272711064151,0.368833341480979,0.0623459947715789,0.0526887283898498,0.0871004171951581,0.0850863500526253,0.60832918126581,0.415163304153445,0.232375546064179,0.121410246704695,0.380249708640352,0.108630857592722,0.0638898860870937,0.130027934085054,0.164657623204914
"45",16,16,16,14,13,13,13,13,13,16,16,16,13,1,13,13,13,0,0.906734535395155,0.346313051982822,0.298027809516067,0.315812586348146,0.25080774563725,0.203521102909782,0.217801082525368,0.0883803058902506,0.0850783328489793,0.757642219911777,0.185752069031986,0.43093932334827,0.450610723852947,0.0651387351382708,0.0939394865169648,0.0653532947573867,0.0363965028737546,0.0232760216810573,0.723272876021898,0.195323808905632,0.493716232834522,0.258609955724274,0.269120128529233,0.158750417794735,0.105178864640432,0.0592843698608496,0.146262833668103
"46",16,16,16,13,13,13,13,13,13,16,16,16,6,1,13,0,0,0,0.210423183717523,0.559178641823787,0.201480930917665,0.153109516297934,0.269278455729235,0.255383749071308,0.164392349765226,0.154553926024175,0.109108925412118,0.392349746598438,0.243639349898603,0.37064982455821,0.0290578253484904,0.150875148617913,0.153036869973594,0.0693387568333836,0.039297043462336,0.0386262667499474,0.132482903679212,0.33537986991688,0.34983586632864,0.215434665914308,0.217397585492596,0.21128918650627,0.266406395108015,0.219047789430471,0.170903913205401
"47",16,16,16,13,13,13,13,13,0,16,16,14,13,13,13,13,0,0,0.554349289230776,0.826321506431867,0.457189995402878,0.361048318657064,0.139451114637104,0.17023936486223,0.164483544734183,0.0883925522635974,0.102166385712031,0.262166378251621,0.337394881793484,0.383853130817486,0.0662171172147326,0.0600768667563946,0.0743130154887688,0.0463051989738803,0.0344458985250381,0.102166385712031,0.430997585181139,0.426988626848191,0.486178451363957,0.156631617672065,0.0827002944239952,0.12281167781622,0.0804009711320983,0.160154007158401,0.170962391751759
"48",16,16,1,1,14,13,13,13,13,16,16,5,16,6,13,13,0,0,0.707075582755055,0.271033457544276,0.377637815895092,0.231354126365557,0.168707872574664,0.311821430302489,0.182140199462204,0.154851658236629,0.0608486527601339,0.222723400214597,0.507474146598784,0.331458867291536,0.294503523666593,0.29238130359851,0.0672750654581938,0.122493384010481,0.064173074845728,0.0393068749452306,0.208900210754242,0.395709611679383,0.370933936671262,0.312431797563847,0.284847577548359,0.112463883531545,0.155265076941563,0.318095726008176,0.151016038935417
"49",16,16,16,16,4,13,13,13,0,16,16,16,16,13,13,13,13,0,0.901788385734686,0.597421825723083,0.495546530071569,0.438652886073853,0.22256316050413,0.155779502449551,0.170981054461646,0.092893096514945,0.0785030982672518,0.329025617171881,0.33365918067738,0.313128076725202,0.394429529659712,0.330216892243918,0.0785758828592928,0.0600979646011574,0.0472821096060436,0.0785030982672518,0.31408590692471,0.456048731366289,0.355690778734521,0.426486702829673,0.160424722208961,0.102290140362178,0.0798078831398998,0.0694021778084023,0.130524571293432
"50",16,16,3,13,5,13,13,13,0,3,16,4,4,13,13,13,0,0,0.982350594351977,0.181240927884967,0.221213774484413,0.295915410582583,0.284030163796153,0.2806552960619,0.202870940225085,0.106943233015561,0.114759795844362,0.373834655240816,0.179687280997091,0.384729475553446,0.154999317710165,0.275760394533862,0.0585784520112363,0.110975739105951,0.0500207743969797,0.114759795844362,0.786469418180546,0.27548026751411,0.538597247880259,0.299269253850015,0.145987584655398,0.185991337622028,0.197512183636241,0.154809611456107,0.237874421351556
"51",16,16,14,1,13,13,13,0,0,16,15,5,13,13,13,0,0,0,0.865794396598079,0.313594958933421,0.280941008459673,0.347025227988405,0.235569986398209,0.267463484878584,0.118160846959415,0.0935966377950314,0.0819731174675878,0.671712155284139,0.259961401014734,0.278866655079522,0.338794328573294,0.087710653056823,0.0989374578322505,0.0501499365284563,0.0935966377950314,0.0819731174675878,0.488835994127585,0.340250287784062,0.440605825596694,0.201346406755941,0.140427492902293,0.156035499509379,0.2345867300233,0.186630045359319,0.156806562541168
"52",16,16,16,16,13,13,13,13,0,16,16,2,1,5,13,13,13,0,0.608537774935482,0.507993914599416,0.703959023530434,0.251540358394573,0.250546021640984,0.195082428272463,0.165131473125567,0.139504641382479,0.130150186827556,0.316177499757019,0.403257427161161,0.392511054971378,0.209155975366785,0.0723628304858603,0.0880758857639012,0.0650832003229415,0.0491639606459427,0.130150186827556,0.168129357498016,0.352093654744591,0.456566822273244,0.308226212916565,0.609291792177893,0.13724396301728,0.0987540614362185,0.0723955481133489,0.175870745194371
