"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"37",1,1,12,12,12,12,1,1,12,12,12,12,0.201391802729874,0.143197605681835,0.0881523756530515,0.0469584770885782,0.0329105515670186,0.0309747917094262,0.201391802729874,0.143197605681835,0.0164525731072718,0.00959755426798647,0.0042678408123762,0.00769367474929766,0.522312971991314,0.212302618525462,0.0301344319747601,0.0181407391783723,0.0119685943505903,0.0120318318790914
"38",1,1,12,12,12,12,1,1,12,12,12,12,0.280085661840884,0.120911057307143,0.0618278973025474,0.0383161951103885,0.0311834067604978,0.0356608044452221,0.280085661840884,0.120911057307143,0.0214152868949282,0.00603920633304657,0.00569235931035245,0.00504867770906057,0.533847350281214,0.346435851192494,0.0259350212433799,0.0117514618268116,0.0100632585624607,0.0113421977332523
"39",1,1,12,12,12,12,3,3,1,12,12,12,0.227605029006865,0.117115647075005,0.0804879014912191,0.0564055150688189,0.0479355571432906,0.0312122335483444,0.227605029006865,0.117115647075005,0.0209061119952317,0.0121605580991746,0.0122712115886245,0.0063958127665492,0.461106104748698,0.549447256707831,0.145892569548474,0.0205842521690419,0.0268926558201753,0.0106848187880102
"40",1,1,12,12,12,12,1,1,1,12,12,12,0.234121187800311,0.166668606023879,0.0533730636372754,0.0572848989189628,0.0310831776686873,0.0300440112636214,0.234121187800311,0.166668606023879,0.0131241603440253,0.00641567649836462,0.00410414780904707,0.0044609758811557,0.472627504725128,0.238634054285061,0.110911953383955,0.0123047678901876,0.00828765145807995,0.0080773991597914
"41",1,1,12,12,12,12,3,1,1,12,12,12,0.235820312072381,0.150195240049236,0.105381193013612,0.052867895675532,0.0455918588176088,0.0243415710547144,0.235820312072381,0.150195240049236,0.0102845527787054,0.00610353986171216,0.00738766096802668,0.003692981552611,0.424843111559819,0.308043412994788,0.144721830977679,0.0116677831125607,0.0117942981429979,0.00783147399350824
"42",1,1,12,12,12,12,3,1,12,12,12,12,0.131107032799164,0.197569437321611,0.0894262956414434,0.0483825456930163,0.0424511196182028,0.0259110834781688,0.131107032799164,0.197569437321611,0.0179676990836328,0.0128445751746944,0.0071466322853168,0.0042617246242262,0.394915840363045,0.271619821062723,0.0327113949869172,0.0406486690911805,0.00855391151937729,0.00827651732871047
"43",1,1,12,12,12,12,3,1,12,12,12,12,0.273325728476791,0.122613076498877,0.0967172569572555,0.0611496987869219,0.038408247240033,0.0337200071885427,0.273325728476791,0.122613076498877,0.0300405389658693,0.0120800254888537,0.00435838299796483,0.00545545427956574,0.806533179592359,0.261747410054254,0.0403352215524381,0.0176844277011301,0.00929585222083767,0.0111412837744855
"44",1,1,12,12,12,12,1,1,1,12,12,12,0.251757334701691,0.126332592560332,0.0714363696538568,0.0518721830035612,0.029950100709214,0.0265373912650185,0.251757334701691,0.126332592560332,0.0240157611669243,0.0107192981128998,0.00560924770720817,0.00658942817733715,0.415731211537748,0.322564714221962,0.103632201106655,0.0172945841238272,0.0101898578533231,0.010883905988709
"45",3,1,12,12,12,12,3,3,12,12,12,12,0.362843409636445,0.14783702148775,0.0746663754980701,0.0532659840232634,0.0341645160010292,0.0323345395486145,0.627293918755873,0.14783702148775,0.0228332836661735,0.00961022327149145,0.00839242134090787,0.00302288225332481,0.635203644384218,0.449155283794386,0.0509841214100596,0.0169708685235141,0.0102606348348929,0.00540186161041184
"46",1,1,12,12,12,12,1,1,12,12,12,12,0.314041342968467,0.096808841732509,0.0769709226023879,0.0558042353801207,0.0344861301788716,0.036761748302752,0.314041342968467,0.096808841732509,0.00920342517824854,0.00886632647099625,0.00671286637249504,0.00813396289515927,0.318441347734595,0.154980344688855,0.050148925192348,0.0138417234871564,0.0192895634302804,0.0147914399860548
