"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"11",3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0.841026864011258,0.316258212163173,0.292141845500572,0.297868524696746,0.25704152465852,0.336829807066496,0.29809751944145,0.288770484151366,0.318178085293915,0.331639671719911,0.327270671263002,0.338638607356208,0.668945746429184,0.27347374815021,0.264536726024108,0.276744574341815,0.291156903489399,0.307238229542953,0.312323692575198,0.00106947107315728,0.000356970109174345,0.00115932344476654,0.000430104712189729,0.000443913759228374,0.754962709614645,0.274360980570087,0.256397120600195,0.283222732447263,0.290283817124654,0.310981684957844,0.308702668971808,0.294647450359491,0.313643798705321,0.337504026060802,0.302325120349137,0.328097159543142
"12",3,3,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,0.2512930596465,0.301182086971211,0.282562302475193,0.297627356508284,0.34032234860589,0.379974510604416,0.367358779029779,0.370748709126122,0.391143662684368,0.318332004808533,0.343543856030598,0.302565031530317,0.283107045789499,0.23317079998592,0.276282740438272,0.29434903762798,0.323026784987872,0.381155274413034,0.000482211153067916,0.345696704543728,0.00650568776395563,0.000620747825329738,0.000430140797564481,0.00025797885477157,0.269864115754987,0.262728867771334,0.275378079467422,0.300834372607516,0.328989991318309,0.380638262700005,0.39069659890353,0.335731500518873,0.361023493870873,0.334083352522542,0.357277752459647,0.300169284496341
"13",3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,0.306618868372432,0.214147853096155,0.378868253548124,0.299870855679016,0.372441253121141,0.319022257439169,0.274230739139815,0.381244928817503,0.310495436857992,0.325140059032522,0.316215643050933,0.36352365082711,0.18779981836828,0.338179695619202,0.375322428450045,0.338559177709899,0.358838519007228,0.326420989629612,0.298708324728895,0.000197475842320053,0.000257223397929581,0.000493427273808355,0.000454585552094609,0.000965123760031104,0.192341317514003,0.313170189497937,0.365988098568461,0.346819863807653,0.368568421590743,0.318894160998848,0.309740959478939,0.372377583345449,0.29821325340724,0.313730802241145,0.340226506668114,0.00101238186634841
"14",3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,0.856258774017392,0.238396061386906,0.392176433866492,0.271342834821835,0.283774301666504,0.31413476083737,0.29556199005271,0.331487132935154,0.350620516588306,0.320305308403773,0.307839401888575,0.337613088891451,0.545147453132691,0.175232028050594,0.37522481050752,0.295185811420584,0.308028867960225,0.296186732307728,0.30348666541773,0.319794621365669,0.000640907299293175,0.00111411016838185,0.000515975371075424,0.00088635908213576,0.66037496572116,0.175386933145081,0.353405865372661,0.294835193425389,0.309791078529199,0.293460101599595,0.298141409420472,0.319758590297833,0.350551929574516,0.00258038903581159,0.000819984050330085,0.331218651332898
"15",3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,0.444398946434692,0.30335918400759,0.373816229493478,0.401774124680609,0.29487730109617,0.336355822580844,0.31432941925012,0.309084944564931,0.311732074920999,0.306802631271072,0.327886200982999,0.308863900826522,0.386919704129825,0.330465408431567,0.35092755851072,0.38035682793311,0.293540464254062,0.346960046657997,0.00125975170610252,0.000597480982927812,0.301595251382396,0.00109641534720342,0.00168505302561161,0.000936126391713779,0.391306609279443,0.316751286702827,0.345216954229457,0.377985653810367,0.290397937408888,0.349424636840787,0.304832870152373,0.301340853750322,0.300401541458862,0.359015684714653,0.00622219088482812,0.00370975240658122
"16",3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,0.236233344032631,0.263517170628654,0.393747179141887,0.310205789175837,0.383120368280896,0.321360141693326,0.288929145022864,0.349193016323794,0.262042032465847,0.348664601345188,0.260316535706464,0.313477120292124,0.106332010399215,0.244825643259335,0.358137702953847,0.2777801674636,0.360263878614413,0.323704012990109,0.306320009697566,0.00179429566637174,0.000789102897312931,0.000420719399985033,0.00103210473812972,0.00247335914805535,0.111846334479285,0.246194749454467,0.383388679039054,0.270115869032031,0.366164237995625,0.327297772049201,0.295030041590506,0.335240578814103,0.271445797799556,0.322201004865463,0.275452409176406,0.00208229102508645
"17",3,3,3,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,0.154692617425043,0.183810307851361,0.309759704243409,0.390015094117666,0.29681206076612,0.382830490357391,0.299968277722289,0.287571913286816,0.379253529588851,0.299762815823959,0.288335271217013,0.279627387620029,0.424384255063379,0.265217537377148,0.31264608155897,0.391991996319265,0.302274700071019,0.370802880273804,0.311777973919595,0.00129982490341342,0.37223162304305,0.00216207600026131,0.000407363655530367,0.00103357619283807,0.435928308075103,0.254113306847417,0.317473144335868,0.389036444848438,0.301465576888632,0.378449687038684,0.313338472612663,0.281002710961318,0.370031420350701,0.3097497236703,0.000490740288709425,0.00212433919846817
"18",3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,0.498353998987163,0.416691052975705,0.248894197461634,0.285182555649583,0.306351585990068,0.343831098718212,0.373772204297757,0.316969336982191,0.3088762114362,0.337889626354226,0.333513513145487,0.295461648320953,0.512523113668179,0.369446805192309,0.245413675546931,0.315565906990652,0.332460798532036,0.367944656644339,0.010622653494972,0.374387027413355,0.3027852603586,0.000395411333765699,0.000368665882555079,0.0007151634107421,0.500443571037925,0.353192483760277,0.240101434346932,0.317465877270292,0.330572169886469,0.375829363907452,0.386357617335431,0.377958658896227,0.304852632200104,0.34000251010735,0.0250367203576303,0.00282665378188773
"19",3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,0.446092099835367,0.369774304403661,0.277238440309219,0.358081282780265,0.300782305514838,0.290332629672415,0.326556759814269,0.351767949672666,0.351314510075775,0.308442044111449,0.335905418081194,0.315678777618478,0.271082875707278,0.399791633613533,0.246664555658685,0.35767293140494,0.291001728953637,0.298709359550477,0.32732834603965,0.345939318924552,0.00265981734289346,0.000438350342500764,0.000536301449790775,0.000235944182045573,0.282402741586252,0.433053231309599,0.242213305909728,0.366274359826745,0.291805488221821,0.293424366790079,0.329800006529727,0.341072689512433,0.0131676361273404,0.300658992072054,0.322501813535468,0.329097440618306
"20",3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,0.345015700862299,0.326421162397398,0.364216908913767,0.336319674756214,0.297016513219913,0.314428119089042,0.313135312874753,0.304493640406262,0.276479879158475,0.333691464888443,0.331623807577802,0.265519053727166,0.217523413424677,0.421046960683558,0.287380611708473,0.297736852982013,0.297074722820387,0.28354665756494,0.338210361223429,0.329713514798777,0.304492475651337,0.000347300269559609,0.00508544795299742,0.000558011440446709,0.221439177531609,0.470338223073242,0.287313045159617,0.293089465101378,0.293556495690967,0.299832711915028,0.342565108132674,0.330583699919497,0.298484450587554,0.329069327157642,0.00123535291762981,0.000917687890328599
